Product,Channel,gps_request_id,Plan_type,Plan_State,miningpassing,subscription_period,sales_code,OrderCat_OnPaymentType,FilterStatus,gps_request_status,Couponcode,gps_plan_id,order_created_at,Payment_month,Payment_Date,collection,RelayPrice_incl_gst,paid_status
GPS,Tele,1053907,NON- AIS,,NON-AIS,ANNUAL,612513,PayLater,ACTIVE,ACTIVE,,257,2025-03-31T12:52:37,202503,31-03-2025,2650.0,0.0,Paid
GPS,Tele,1083575,NON- AIS,,NON-AIS,ANNUAL,515678,PayLater,ACTIVE,ACTIVE,,257,2025-05-03T13:17:14,202505,03-05-2025,3299.0,0.0,Paid
GPS,Market,1104383,NON- AIS,,NON-AIS,ANNUAL,13682,PayLater,ACTIVE,ACTIVE,,257,2025-05-30T15:58:39,202505,31-05-2025,3299.0,0.0,Paid
GPS,Market,1080879,NON- AIS,,NON-AIS,ANNUAL,11927,PayLater,ACTIVE,ACTIVE,,257,2025-04-29T16:25:51,202504,30-04-2025,3400.0,0.0,Paid
GPS,Market,1041613,NON- AIS,,NON-AIS,ANNUAL,13682,PayLater,ACTIVE,ACTIVE,,257,2025-03-15T19:49:40,202503,15-03-2025,3000.0,0.0,Paid
GPS,Market,1104411,NON- AIS,,NON-AIS,ANNUAL,121022,Regular,ACTIVE,ACTIVE,,257,2025-05-30T16:28:50,202505,30-05-2025,3299.25,0.0,Paid
GPS,Market,1113636,NON- AIS,,NON-AIS,ANNUAL,23757,PayLater,ACTIVE,ACTIVE,,257,2025-06-11T10:56:39,202506,11-06-2025,3400.0,0.0,Paid
GPS,Market,1053601,NON- AIS,,NON-AIS,ANNUAL,490907,PayLater,ACTIVE,ACTIVE,,257,2025-03-30T15:30:19,202503,30-03-2025,3400.0,300.0,Paid
GPS,Toll,1127663,NON- AIS,,NON-AIS,ANNUAL,382830,Regular,ACTIVE,ACTIVE,,257,2025-06-27T13:42:07,202506,27-06-2025,3400.0,0.0,Paid
GPS,Market,1046167,NON- AIS,,NON-AIS,ANNUAL,22897,PayLater,ACTIVE,ACTIVE,,257,2025-03-21T13:33:38,202503,21-03-2025,3599.0,0.0,Paid
GPS,Market,1110866,NON- AIS,,NON-AIS,ANNUAL,375202,PayLater,ACTIVE,ACTIVE,,257,2025-06-07T11:48:21,202506,07-06-2025,3599.0,0.0,Paid
GPS,Market,1079616,NON- AIS,,NON-AIS,ANNUAL,206075,PayLater,ACTIVE,ACTIVE,,257,2025-04-28T11:56:40,202504,29-04-2025,3699.0,300.0,Paid
GPS,Market,1106614,NON- AIS,,NON-AIS,ANNUAL,60099,Regular,ACTIVE,ACTIVE,,257,2025-06-02T16:12:37,202506,02-06-2025,3299.0,0.0,Paid
GPS,Tele,1044708,NON- AIS,,NON-AIS,ANNUAL,658477,PayLater,ACTIVE,ACTIVE,,257,2025-03-19T18:11:53,202503,22-03-2025,2650.0,0.0,Paid
GPS,Market,1075439,NON- AIS,,NON-AIS,ANNUAL,401701,Regular,ACTIVE,ACTIVE,,257,2025-04-23T14:59:59,202504,23-04-2025,3699.0,300.0,Paid
GPS,Market,1124820,NON- AIS,,NON-AIS,ANNUAL,248187,Regular,ACTIVE,ACTIVE,,257,2025-06-24T13:30:46,202506,24-06-2025,3400.0,300.0,Paid
GPS,Market,1044865,NON- AIS,,NON-AIS,ANNUAL,850894,Regular,ACTIVE,ACTIVE,,257,2025-03-19T21:21:12,202503,19-03-2025,3100.0,0.0,Paid
GPS,Market,1084849,NON- AIS,,NON-AIS,ANNUAL,428899,PayLater,ACTIVE,ACTIVE,,257,2025-05-05T12:54:29,202505,05-05-2025,3599.0,0.0,Paid
GPS,Market,1055517,NON- AIS,,NON-AIS,ANNUAL,188156,PayLater,ACTIVE,ACTIVE,,257,2025-04-02T14:27:04,202505,01-05-2025,3400.0,0.0,Paid
GPS,Market,1042643,NON- AIS,,NON-AIS,ANNUAL,66947,PayLater,ACTIVE,ACTIVE,,257,2025-03-17T15:51:15,202503,18-03-2025,3400.0,0.0,Paid
GPS,Market,1120104,NON- AIS,,NON-AIS,ANNUAL,114805,PayLater,ACTIVE,ACTIVE,,257,2025-06-18T19:26:25,202506,19-06-2025,3400.0,0.0,Paid
GPS,Market,1087274,NON- AIS,,NON-AIS,ANNUAL,699531,Regular,ACTIVE,ACTIVE,,257,2025-05-08T12:40:25,202505,08-05-2025,3400.0,0.0,Paid
GPS,Market,1122971,NON- AIS,,NON-AIS,ANNUAL,80595,Regular,ACTIVE,ACTIVE,,257,2025-06-21T18:25:35,202506,21-06-2025,3400.0,0.0,Paid
GPS,Tele,1108407,NON- AIS,,NON-AIS,ANNUAL,136865,PayLater,ACTIVE,ACTIVE,,257,2025-06-04T14:28:32,202506,04-06-2025,3400.0,0.0,Paid
GPS,Market,1093479,NON- AIS,,NON-AIS,ANNUAL,25654,PayLater,ACTIVE,ACTIVE,,257,2025-05-16T13:00:03,202505,17-05-2025,3449.0,0.0,Paid
GPS,Market,1034470,NON- AIS,,NON-AIS,ANNUAL,219385,Regular,ACTIVE,ACTIVE,,257,2025-03-06T14:46:51,202503,06-03-2025,3699.0,300.0,Paid
GPS,Tele,1114291,NON- AIS,,NON-AIS,ANNUAL,602703,PayLater,ACTIVE,ACTIVE,,257,2025-06-11T17:45:31,202506,12-06-2025,3299.0,0.0,Paid
GPS,Tele,1107961,NON- AIS,,NON-AIS,ANNUAL,493945,Regular,ACTIVE,ACTIVE,,257,2025-06-04T08:51:57,202506,04-06-2025,3600.3333333333335,300.0,Paid
GPS,Market,1129579,NON- AIS,,NON-AIS,ANNUAL,30218,Regular,ACTIVE,ACTIVE,,257,2025-06-30T10:13:03,202506,30-06-2025,3400.0,0.0,Paid
